16:55:21.986 [main] INFO  com.AbcApplication:593- No active profile set, falling back to default profiles: default
16:55:28.145 [main] WARN  c.n.c.sources.URLConfigurationSource:121- No URLs will be polled as dynamic configuration sources.
16:55:28.147 [main] INFO  c.n.c.sources.URLConfigurationSource:122- To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
16:55:28.155 [main] WARN  c.n.c.sources.URLConfigurationSource:121- No URLs will be polled as dynamic configuration sources.
16:55:28.156 [main] INFO  c.n.c.sources.URLConfigurationSource:122- To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
16:55:28.408 [main] INFO  c.netflix.discovery.DiscoveryClient:344- Initializing Eureka in region us-east-1
16:55:29.130 [main] INFO  c.n.d.p.DiscoveryJerseyProvider:70- Using JSON encoding codec LegacyJacksonJson
16:55:29.131 [main] INFO  c.n.d.p.DiscoveryJerseyProvider:71- Using JSON decoding codec LegacyJacksonJson
16:55:29.251 [main] INFO  c.n.d.p.DiscoveryJerseyProvider:80- Using XML encoding codec XStreamXml
16:55:29.251 [main] INFO  c.n.d.p.DiscoveryJerseyProvider:81- Using XML decoding codec XStreamXml
16:55:29.462 [main] INFO  c.n.d.s.r.aws.ConfigClusterResolver:45- Resolving eureka endpoints via configuration
16:55:29.821 [main] INFO  c.netflix.discovery.DiscoveryClient:920- Disable delta property : false
16:55:29.822 [main] INFO  c.netflix.discovery.DiscoveryClient:921- Single vip registry refresh property : null
16:55:29.822 [main] INFO  c.netflix.discovery.DiscoveryClient:922- Force full registry fetch : false
16:55:29.823 [main] INFO  c.netflix.discovery.DiscoveryClient:923- Application is null : false
16:55:29.823 [main] INFO  c.netflix.discovery.DiscoveryClient:924- Registered Applications size is zero : true
16:55:29.823 [main] INFO  c.netflix.discovery.DiscoveryClient:926- Application version is -1: true
16:55:29.823 [main] INFO  c.netflix.discovery.DiscoveryClient:1009- Getting all instance registry info from the eureka server
16:55:29.995 [main] INFO  c.netflix.discovery.DiscoveryClient:1018- The response status is 200
16:55:29.998 [main] INFO  c.netflix.discovery.DiscoveryClient:1244- Starting heartbeat executor: renew interval is: 30
16:55:30.000 [main] INFO  c.n.discovery.InstanceInfoReplicator:59- InstanceInfoReplicator onDemand update allowed rate per min is 4
16:55:30.002 [main] INFO  c.netflix.discovery.DiscoveryClient:425- Discovery Client initialized at timestamp 1552985730001 with initial instances count: 2
16:55:30.027 [main] INFO  c.netflix.discovery.DiscoveryClient:1279- Saw local status change event StatusChangeEvent [timestamp=1552985730027, current=UP, previous=STARTING]
16:55:30.030 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient:795- DiscoveryClient_ABC-SERVICES/localhost:abc-services:9403: registering service...
16:55:30.085 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient:804- DiscoveryClient_ABC-SERVICES/localhost:abc-services:9403 - registration status: 204
16:55:30.124 [main] INFO  com.AbcApplication:57- Started AbcApplication in 12.623 seconds (JVM running for 13.28)
16:55:55.915 [http-nio-9403-exec-1] INFO  com.controller.TestController:27- TestController -> test -> @RequestBody got -> PersonInfoVO(name=蚂蚁牙黑, age=68, gender=男, borthDate=Mon May 12 08:00:00 CST 2008)
16:55:55.916 [http-nio-9403-exec-1] INFO  com.controller.TestController:28- TestController -> test -> @RequestHeader got -> dengshuai
16:55:57.485 [http-nio-9403-exec-2] INFO  com.controller.TestController:27- TestController -> test -> @RequestBody got -> PersonInfoVO(name=蚂蚁牙黑, age=68, gender=男, borthDate=Mon May 12 08:00:00 CST 2008)
16:55:57.486 [http-nio-9403-exec-2] INFO  com.controller.TestController:28- TestController -> test -> @RequestHeader got -> dengshuai
16:55:58.748 [http-nio-9403-exec-4] INFO  com.controller.TestController:27- TestController -> test -> @RequestBody got -> PersonInfoVO(name=蚂蚁牙黑, age=68, gender=男, borthDate=Mon May 12 08:00:00 CST 2008)
16:55:58.749 [http-nio-9403-exec-4] INFO  com.controller.TestController:28- TestController -> test -> @RequestHeader got -> dengshuai
16:57:31.818 [http-nio-9403-exec-5] INFO  com.controller.TestController:27- TestController -> test -> @RequestBody got -> PersonInfoVO(name=蚂蚁牙黑, age=68, gender=男, borthDate=Mon May 12 08:00:00 CST 2008)
16:57:31.819 [http-nio-9403-exec-5] INFO  com.controller.TestController:28- TestController -> test -> @RequestHeader got -> dengshuai
